"","BBN_10099_MTG_P3WH10_001","BBN_10109_MTG_P4WA3_001","BBN_10611_MTG_P2WD10_001","BBN_14801_MTG_P1WH9_001","BBN_16213_MTG_P2WH3_001","BBN_18399_MTG_P2WF5_001","BBN_19214_MTG_P2WA3_001","BBN_21792_MTG_P2WG7_001","BBN_24279_MTG_P2WA6_001","BBN_24370_MTG_P3WD4_001","BBN_24578_MTG_P3WF1_001","BBN_7115_MTG_P1WF4_001","BBN_7403_MTG_P1WF7_001","BBN_7404_MTG_P1WF10_001","BBN_7540_MTG_P1WG4_001","BBN_7545_MTG_P1WG7_001","BBN_7617_MTG_P1WH4_001","BBN_9984_MTG_P3WD1_001","BBN002.26094_MTG_P3WC8_001","BBN002.29089_MTG_P3WD7_001","BBN002.29170_MTG_P3WE8_001","BBN002.30035_MTG_P2WG10_001","BBN002.30127_MTG_P3WA4_001","BBN003.26332_MTG_P1WD4_001","BBN003.26333_MTG_P1WD7_001","BBN003.26941_MTG_P2WA9_001","BBN003.26951_MTG_P2WB2_001","BBN003.28342_MTG_P2WB5_001","BBN003.32185_MTG_P1WA5_001","BBN003.32196_MTG_P1WA8_001","BBN003.32205_MTG_P1WB5_001","BBN003.32212_MTG_P1WC1_001","BBN003.32228_MTG_P1WC5_001","BBN003.32235_MTG_P1WC8_001","BBN003.32295_MTG_P1WE3_001","BBN003.33729_MTG_P2WC3_001","BBN003.34161_MTG_P2WC6_001","BBN003.35446_MTG_P2WD1_001","BBN003.35520_MTG_P2WD4_001"
"RPL9P9",86.5949,98.3339,114.183,104.717,86.4669,94.3486,99.9807,72.0886,73.1791,101.618,98.4025,98.6054,82.5246,92.7715,116.335,104.758,119,104.34,75.6143,115.924,106.042,120.583,108.764,105.941,93.386,94.1216,82.5772,101.185,86.6203,77.754,139.496,85.4833,108.398,77.7822,79.453,102.752,100.159,78.4537,86.8719
"ACSL1",NA,NA,NA,NA,NA,NA,17.98,6.21013,10.0195,3.66505,NA,NA,5.51963,7.63866,11.7598,NA,27.2239,NA,NA,NA,NA,15.2213,NA,NA,NA,21.2022,6.80883,NA,NA,NA,NA,NA,10.7493,13.5025,4.034,NA,4.63246,19.7151,5.87463
"KIF5B",49.594,74.1829,42.8107,62.0681,58.0113,65.0053,59.4052,64.798,54.7951,63.9876,54.8927,76.2662,53.8473,49.9583,70.916,53.8052,66.82,51.7663,53.0125,45.0839,52.7004,69.8574,58.5763,73.9282,72.6408,66.9231,56.0161,67.8123,72.4427,62.7327,91.9914,64.9329,67.6414,64.876,55.4741,83.5934,69.213,73.7892,60.4775
"DUT",NA,35.3913,46.2924,27.1387,39.6247,37.7089,37.6003,39.0416,44.7921,40.9506,53.2173,26.761,48.8165,42.0483,43.3151,33.6032,38.1797,30.9316,37.2593,42.4467,17.9191,46.748,44.745,34.3383,52.2933,NA,31.1653,25.5577,55.3872,46.2411,NA,36.4005,49.0151,32.7206,40.1263,49.2123,36.4676,40.6301,30.0159
"GUCY1A2",60.6105,38.9174,43.4619,43.2163,53.5628,47.4174,52.4932,50.6066,53.4852,28.836,49.0763,46.9384,53.7629,47.6186,53.6271,62.756,46.0393,47.1497,36.8063,39.0981,NA,39.8741,53.6931,29.766,38.7885,57.9534,49.5688,46.4055,55.3211,30.5671,38.0682,41.2346,45.2556,43.9618,50.1363,51.7456,49.9003,42.4809,50.5327
"SHMT2",40.9657,48.814,47.0526,42.7076,42.645,31.7913,40.9472,38.2936,45.1503,41.5046,44.4594,44.7989,41.932,29.4448,41.8238,48.624,46.4362,46.9712,90.7199,37.7505,24.5725,56.4729,49.2321,40.9538,45.6568,53.0385,45.068,57.7995,44.7949,30.5562,61.9735,43.4204,48.99,35.5162,34.6846,45.5669,45.7496,41.1359,42.1626
"EPHX2",14.5025,15.6005,24.781,15.4353,13.4023,8.49901,21.4868,26.1514,19.3912,28.9821,18.1783,23.8727,17.4036,23.2174,15.882,17.2547,13.2705,23.5127,23.8742,17.2855,16.8112,16.334,21.162,25.5303,25.0027,21.8655,22.8574,19.6663,23.075,15.0885,45.3125,14.8515,35.641,17.4235,17.786,33.2873,27.6512,45.8188,18.9431
"HSPA1L",NA,NA,NA,111.549,NA,NA,56.0025,NA,NA,NA,102.614,94.3605,NA,NA,NA,49.3678,NA,NA,NA,NA,NA,101.658,63.5568,NA,NA,50.0426,NA,NA,129.594,NA,95.6649,96.3039,NA,NA,NA,NA,NA,NA,49.78
"HSPA4",98.6119,163.344,126.397,191.077,133.955,102.806,99.8389,110.735,124.307,125.931,111.656,132.138,135.925,129.517,130.428,112.106,115.67,124.991,99.1216,155.581,118.982,110.472,103.952,134.604,126.074,104.979,92.3317,80.8183,105.103,115.893,107.338,131.989,131.805,142.753,150.152,155.889,120.573,117.668,138.323
"MPI",53.9213,75.3172,77.9611,66.8766,66.0597,63.4858,62.7569,60.7015,53.0744,64.3035,37.0192,84.1433,70.5731,52.4873,80.06,68.3853,89.452,76.3848,78.731,64.9323,81.8331,79.6145,49.0015,85.2023,73.9832,61.9607,36.9035,50.606,86.457,81.9417,60.1423,63.9767,69.4113,53.4009,42.5042,77.6096,70.6345,67.1571,78.0302
