"","BBN_10099_MTG_P3WH10_001","BBN_10109_MTG_P4WA3_001","BBN_10611_MTG_P2WD10_001","BBN_14801_MTG_P1WH9_001","BBN_16213_MTG_P2WH3_001","BBN_18399_MTG_P2WF5_001","BBN_19214_MTG_P2WA3_001","BBN_21792_MTG_P2WG7_001","BBN_24279_MTG_P2WA6_001","BBN_24370_MTG_P3WD4_001","BBN_24578_MTG_P3WF1_001","BBN_7115_MTG_P1WF4_001","BBN_7403_MTG_P1WF7_001","BBN_7404_MTG_P1WF10_001","BBN_7540_MTG_P1WG4_001","BBN_7545_MTG_P1WG7_001","BBN_7617_MTG_P1WH4_001","BBN_9984_MTG_P3WD1_001","BBN002.26094_MTG_P3WC8_001","BBN002.29089_MTG_P3WD7_001","BBN002.29170_MTG_P3WE8_001","BBN002.30035_MTG_P2WG10_001","BBN002.30127_MTG_P3WA4_001","BBN003.26332_MTG_P1WD4_001","BBN003.26333_MTG_P1WD7_001","BBN003.26941_MTG_P2WA9_001","BBN003.26951_MTG_P2WB2_001","BBN003.28342_MTG_P2WB5_001","BBN003.32185_MTG_P1WA5_001","BBN003.32196_MTG_P1WA8_001","BBN003.32205_MTG_P1WB5_001","BBN003.32212_MTG_P1WC1_001","BBN003.32228_MTG_P1WC5_001","BBN003.32235_MTG_P1WC8_001","BBN003.32295_MTG_P1WE3_001","BBN003.33729_MTG_P2WC3_001","BBN003.34161_MTG_P2WC6_001","BBN003.35446_MTG_P2WD1_001","BBN003.35520_MTG_P2WD4_001"
"IGKV2-28;IGKV2-29;IGKV2-30;IGKV2-40;IGKV2D-26;IGKV2D-28;IGKV2D-29;IGKV2D-30;IGKV2D-40",NA,NA,NA,NA,NA,3.88785,11.0547,NA,NA,NA,5.10218,NA,18.4459,NA,NA,3.68882,14.9178,NA,NA,NA,NA,15.9777,NA,NA,NA,16.0346,19.767,11.0573,NA,NA,52.0383,NA,17.6148,15.891,NA,NA,NA,10.4282,NA
"IGKV3-11;IGKV3D-11",NA,25.5362,8.9192,15.8909,NA,6.91619,16.2011,22.2013,29.0004,NA,16.0128,NA,12.1294,14.8771,20.4404,21.6893,27.3404,26.0118,12.3101,5.58179,19.7155,47.4351,NA,14.8351,33.9257,44.0701,31.5262,23.9609,44.0226,35.7476,75.8005,19.5038,37.0042,26.7234,NA,18.3257,20.2569,32.8512,NA
"IGHV3-15;IGHV3-72;IGHV3-73",13.6608,NA,22.4245,23.9753,NA,NA,19.8104,33.6381,30.0959,NA,NA,NA,NA,NA,28.999,26.6341,31.3155,NA,NA,NA,43.953,51.1442,NA,24.4173,50.3144,46.9127,38.5804,NA,31.5077,NA,76.3478,21.1846,64.5516,53.774,NA,26.9152,16.4883,NA,24.1422
"UBA6",53.9342,44.0024,60.5918,33.8567,53.3212,53.6194,62.899,61.4863,57.248,48.5423,48.4013,52.0233,63.2917,52.4605,57.1044,44.9386,80.3322,48.3928,66.6336,37.1466,54.916,73.8834,70.6008,47.316,72.4771,61.0683,56.9053,66.8881,59.4748,65.1118,68.7902,60.0575,63.0928,67.0095,47.7676,71.8082,66.9639,95.7079,52.8794
"ESYT2",15.9353,8.79475,28.6187,NA,32.0624,23.9976,35.5413,39.1953,45.3486,44.7597,20.0187,18.2872,27.1424,40.2676,21.0178,25.7037,23.9706,19.4507,24.8203,11.6044,20.4427,27.1404,25.5888,14.8837,35.708,28.684,39.2786,37.2832,18.0295,33.3741,26.6348,25.7827,25.7782,38.1323,38.3267,10.2593,29.561,59.2419,26.5308
"SHTN1",42.0856,64.7074,53.4585,37.6983,56.2661,49.7729,51.0844,56.6578,35.5758,57.6381,41.2494,59.9607,46.2196,47.7613,48.7568,47.4309,57.6811,53.4976,32.4535,52.5342,55.6187,62.4205,62.2412,58.2617,55.2566,36.9191,48.5513,34.2026,59.9607,70.2603,44.5446,64.0254,46.0447,54.3302,48.522,71.2658,62.6588,36.5114,55.0145
"TARS3",NA,15.1655,25.1836,20.1142,22.6672,23.1004,29.9857,25.0564,18.5626,25.2229,22.439,23.2216,28.7483,19.3738,37.0275,21.2916,34.3904,NA,NA,26.2513,29.6154,25.6139,26.9477,35.4833,26.3799,25.7832,14.8838,29.5481,NA,19.2511,26.9178,19.7196,36.2436,26.164,23.1628,NA,28.0471,30.629,19.3973
"PSD",23.8533,15.4614,22.3523,NA,16.5911,19.5333,16.8772,17.5828,12.3173,NA,16.6954,11.0232,18.4653,16.6011,18.4479,16.7526,NA,16.0289,21.0966,NA,18.7286,NA,NA,12.9571,10.9117,20.6327,15.2961,20.3706,NA,15.8148,25.1509,NA,NA,10.6902,14.736,19.484,12.8186,14.3078,20.8181
"CARNS1",NA,55.1083,63.0677,25.2612,37.9277,46.2478,43.2228,62.6026,28.9225,62.9809,31.782,72.1882,42.4943,32.8428,NA,40.3831,39.3965,18.6237,24.8941,47.1768,60.4673,60.9321,64.4122,32.9963,56.9771,42.6049,38.0391,47.9855,18.6069,17.2449,NA,65.1982,47.4864,48.8736,43.1101,67.271,50.4552,NA,21.2316
"MAP1LC3B;MAP1LC3B2",83.1229,89.337,93.0488,56.6484,120.442,118.109,121.126,92.1855,97.8184,127.075,147.506,74.1166,86.3447,108.358,98.536,106.862,92.4835,100.138,66.9748,179.873,110.985,88.1268,103.028,84.2697,104.19,84.3908,83.4126,87.7558,54.6118,120.344,40.068,87.7686,103.358,119.242,92.7046,101.283,99.2801,66.769,99.5654
"PGP",23.1089,23.2383,17.4792,24.4034,40.9513,24.3759,18.2978,20.8723,27.8876,32.5041,22.3748,17.6255,34.975,32.0383,24.7242,26.3194,31.5363,20.3816,42.2873,25.3077,38.2669,NA,28.119,10.867,22.6408,26.2156,14.5471,16.0259,38.5225,25.1902,24.8758,26.4635,38.6803,28.3642,45.0559,34.9773,20.5364,21.7578,20.9239
"BTBD17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WIPF3",57.1691,NA,95.1985,62.9174,61.1405,98.0357,58.8438,67.3854,64.199,42.777,60.5614,58.3818,79.3825,65.0522,44.474,NA,61.289,49.6406,89.8676,85.3162,70.0614,81.248,41.3936,34.9575,NA,26.0579,NA,51.4483,NA,58.9169,86.6492,34.5623,79.7966,65.05,58.9119,NA,59.9367,79.0494,NA
"IGLON5",18.0666,NA,12.1435,NA,9.15014,10.2548,12.5892,10.6382,26.9185,NA,NA,NA,11.929,19.1083,16.1323,5.62699,NA,NA,NA,NA,NA,14.2967,NA,NA,17.9452,10.2527,17.0168,17.5731,NA,21.2619,13.947,8.21745,NA,10.0913,20.6012,NA,10.5743,13.7193,NA
"TUBAL3",9691.9,7681.28,10449,7282.97,10382.4,10277.5,9069.56,8973.52,9130.63,8924.33,8127.89,8707.83,7506.08,8284.31,7158.61,9201.49,7294.23,8982,10871.4,8487.21,11322.1,8662.25,12647.4,9564.02,8031.13,9619.32,10211.8,10090.8,6219.9,10085.3,5120.03,9294.79,6950.45,8133.59,8203.98,9106.32,8338.3,5802.02,10075.4
"FBLL1",64.1842,44.9641,NA,62.3282,59.3278,48.8723,60.7794,63.7589,65.6358,58.7167,66.5914,NA,47.3568,55.1586,67.4334,60.1956,85.7552,62.9488,46.9068,57.405,68.0019,NA,51.4228,NA,42.9997,39.4187,59.4725,57.2026,NA,62.0841,67.9452,54.044,52.9025,79.9777,63.3027,73.2119,66.0876,NA,43.8941
"CASTOR2",18.9491,12.2351,24.693,NA,18.58,22.2821,NA,NA,NA,23.2546,27.6547,13.6667,22.158,20.2972,17.3159,26.2499,15.6371,19.5216,NA,22.3725,NA,17.1153,21.9284,12.945,9.14336,19.9336,NA,NA,NA,NA,14.1568,21.203,21.3034,18.1951,17.2679,NA,12.8922,NA,13.7314
"UNC119;UNC119B",20.1283,NA,NA,NA,NA,15.4191,16.594,29.8315,22.0166,NA,17.4445,18.5431,12.5069,22.8855,20.3847,12.3418,19.6477,8.60717,NA,17.1021,NA,11.5648,10.0261,13.6531,12.3307,15.1775,NA,13.804,39.0642,26.4115,NA,10.8817,13.621,20.897,18.8443,9.43793,22.0387,18.5856,27.4611
"YJEFN3",36.1544,25.4468,30.8425,NA,33.711,23.0508,24.2579,29.5744,28.9984,21.5074,NA,15.5912,24.8229,19.1926,NA,23.4309,NA,25.4,19.7786,16.6351,28.5166,21.7466,28.8988,12.2699,15.9764,38.6634,45.3825,28.0492,NA,30.1055,NA,26.9624,22.3327,19.7351,23.9718,23.2296,34.9227,NA,34.7289
"ARHGAP32",13.6246,9.35018,8.61083,11.4006,12.8528,13.9123,17.7239,11.4612,4.94088,8.84577,16.2913,15.2221,9.07651,13.3196,11.9989,17.0831,5.57716,9.0267,NA,7.95878,NA,12.8269,8.63953,NA,11.2683,10.9414,18.3959,8.41969,10.2487,NA,8.53577,19.6581,13.6872,8.25332,NA,12.6842,9.78279,9.50584,10.1789
"FAM171A2",NA,18.8976,17.7343,15.7255,27.7064,18.5011,38.6198,24.3853,32.9625,35.7556,29.8585,21.5136,26.3522,41.2729,23.5128,21.0055,29.059,26.2067,29.2984,NA,16.583,NA,24.743,13.8145,36.908,NA,38.8429,47.6622,NA,32.2883,NA,33.1342,22.0137,28.9519,35.3892,17.4205,25.0746,23.2207,51.4539
"SNRPG;SNRPGP15",NA,42.8386,35.0393,38.3466,27.211,23.0534,26.7184,28.88,43.0042,50.1054,32.1137,37.7965,30.1712,22.9191,38.1298,23.3142,38.4039,34.4629,39.1595,31.2471,22.9591,30.6957,40.5792,28.9008,45.7743,34.8531,34.5464,32.7847,43.4324,27.7267,43.1296,35.1755,43.6377,27.5921,36.0302,30.7056,29.0939,33.0589,20.0488
"NUDT19",23.2207,NA,NA,NA,NA,14.094,12.1977,27.4811,21.5523,NA,NA,NA,18.9235,16.9391,NA,NA,NA,12.0651,NA,NA,NA,NA,NA,NA,30.6735,17.9295,NA,22.5517,NA,NA,NA,NA,16.9886,15.1761,13.6507,NA,10.2814,NA,18.3831
"EIF3C;EIF3CL",27.6104,27.259,34.5642,31.4517,24.1771,33.3276,31.3711,25.283,29.0009,25.5279,28.5222,39.4746,29.3336,31.3341,36.4904,28.7001,32.5556,29.9364,21.938,16.9023,18.8098,31.4004,31.4248,28.8402,31.5273,24.6922,30.7255,33.0332,32.3958,33.1942,40.5869,38.138,34.3883,33.6892,25.8438,19.858,28.7883,33.5973,13.7669
"IGLL5",NA,NA,25.8778,NA,12.0796,19.4424,24.3871,25.3026,16.2375,NA,33.2724,NA,NA,23.8595,32.0326,NA,36.3234,23.8331,NA,NA,24.7614,37.5855,NA,15.8262,24.3455,52.4061,40.3225,45.5719,NA,24.8775,106.627,30.1052,38.5543,25.1923,19.0804,NA,NA,NA,NA
"AJM1",48.6949,30.8163,23.4131,34.0794,38.3248,42.8435,41.9971,52.5387,39.4735,34.5832,26.0792,43.1694,40.7249,44.5521,45.9337,43.0648,35.7935,33.3279,37.4442,33.0396,38.8451,40.1674,38.6346,30.7461,36.012,58.8897,37.6838,37.9916,45.9419,19.9909,97.6373,35.4743,35.8252,37.4272,47.1363,85.4885,39.2806,54.6884,39.6108
"MCRIP1",22.2517,NA,13.1741,29.3458,23.3756,19.2527,NA,16.555,11.7997,NA,22.1872,27.4649,NA,17.7359,18.1736,NA,30.8389,23.9485,NA,NA,NA,21.4688,NA,NA,NA,NA,NA,23.0747,28.2481,27.2993,29.4296,12.1348,NA,24.1753,15.1339,23.3274,22.7007,NA,24.1401
"NACA",29.6555,34.4605,47.2822,44.7594,49.2536,41.3408,45.9531,34.0714,61.3533,50.7043,48.983,27.6784,47.8721,44.9944,53.2961,42.8872,56.2568,34.4815,25.9999,54.9299,34.5778,43.8679,57.6283,26.7564,49.8024,32.2513,40.4135,38.6102,22.7484,55.4709,58.4687,49.1777,40.6609,52.6247,54.8781,48.0848,47.6878,29.1673,55.4314
"CNK3/IPCEF1;IPCEF1",12.5594,NA,15.4963,14.3576,13.7973,15.5952,10.4908,18.8289,12.2161,11.7728,17.0129,9.31005,17.0021,16.9848,16.3211,14.5975,NA,12.0112,NA,15.8113,NA,18.1151,NA,NA,NA,17.5976,12.3394,21.4983,NA,10.322,NA,18.9325,NA,NA,21.5978,NA,15.7998,NA,6.42667
"AGPS",NA,NA,7.23711,NA,NA,5.57918,10.9089,11.5384,NA,12.6382,8.32464,NA,NA,5.97128,13.7722,NA,6.75396,NA,NA,NA,NA,7.66484,4.92241,NA,NA,11.3731,NA,NA,NA,4.10496,NA,14.1089,NA,5.56443,NA,NA,7.92684,NA,NA
"KIF2A",134.607,109.276,97.396,97.4269,113.875,121.477,119.815,122.643,105.825,100.75,94.6409,109.882,109.361,104.723,123.668,119.77,118.947,120.126,115.753,74.9146,113.347,124.532,103.13,121.773,116.049,123.945,122.296,118.441,130.256,132.756,99.0191,114.983,115.807,120.197,103.168,117.086,116.154,104.59,124.976
"TK2",60.4381,60.0454,42.0417,65.6515,46.2711,49.6011,45.704,58.3985,54.669,35.196,53.413,63.3734,63.2131,62.5336,58.4769,38.0841,58.0722,41.02,41.7253,48.0636,24.6334,69.8721,52.0371,63.0713,46.9851,58.2154,49.1108,43.8524,86.2923,67.9685,85.5482,NA,61.7595,57.8973,44.2122,59.2645,56.7828,48.4903,44.029
"ACOT7",341.18,488.412,357.021,650.016,383.969,320.882,318.521,434.409,492.783,390.872,384.482,355.422,547.696,417.297,432.746,444.055,476.223,449.729,496.149,400.834,431.725,252.593,373.812,463.602,479.333,394.306,479.566,280.258,489.522,624.318,290.148,457.998,409.938,498.752,543.344,503.239,398.787,376.408,597.147
"MYO1C",21.9673,19.503,24.1497,NA,14.739,17.1646,22.4085,21.2247,4.57277,NA,13.624,NA,23.4286,18.1335,25.0481,14.8568,23.8229,27.0371,29.4206,NA,9.63717,73.2469,15.8419,NA,29.183,45.2878,23.1623,53.113,21.8566,18.215,93.8826,12.5027,21.7587,18.2124,NA,30.8502,16.279,36.918,15.6224
"AIP",39.5585,59.3651,40.0012,45.0577,53.9511,49.202,51.2176,55.948,48.7697,43.195,48.9019,49.8239,42.7406,44.9952,47.0935,58.0524,63.3149,46.2389,46.2846,42.4999,56.4334,54.0741,50.5898,48.6669,58.6687,42.1615,46.2322,44.5435,65.0217,61.1457,76.2182,62.5112,55.0712,51.9514,44.1153,59.134,59.13,52.5108,55.3753
"GTPBP1",NA,NA,NA,21.7671,8.75617,21.7243,13.9687,13.4868,14.5195,11.1999,NA,NA,19.3221,27.2347,16.2274,18.8232,22.9772,NA,NA,NA,NA,17.6379,25.8807,NA,12.6954,3.55919,NA,17.4858,NA,NA,NA,31.6264,18.5183,NA,9.04895,NA,17.3578,NA,NA
"STXBP3",34.5411,24.1996,37.118,28.0719,39.9843,36.6398,37.2191,48.5953,30.5444,33.9712,36.4827,39.2785,32.6776,34.7557,34.2032,34.5653,57.0235,29.2617,51.8374,29.05,24.4303,41.7192,40.9293,33.022,40.6725,33.8708,31.5165,52.1257,32.9759,41.7233,50.2772,43.7826,37.0248,33.7393,28.4145,48.5303,36.2092,54.4103,27.0849
"ARVCF",26.2998,18.8288,29.7716,NA,62.0699,18.31,31.8017,NA,NA,NA,NA,NA,25.9668,NA,15.4521,NA,23.21,NA,NA,NA,36.9682,NA,NA,NA,22.2264,NA,NA,19.2801,21.0648,21.6178,NA,NA,28.3142,NA,14.6405,NA,39.4529,49.1597,NA
"RAB27B",73.2126,102.769,54.1152,69.6412,77.1632,63.8527,101.856,80.1951,109.042,51.4248,58.1304,55.4595,67.5912,84.1991,72.3783,58.4249,55.4588,80.8011,94.7003,NA,64.0253,77.9843,64.8329,71.42,106.072,100.607,99.2442,97.3012,93.637,79.4059,100.813,70.4132,67.6942,96.0976,107.259,52.6313,71.9346,98.4158,95.8991
"AP3B1",12.4822,26.468,5.65741,15.6981,30.0602,20.6348,19.4211,20.3275,21.0085,4.8796,16.9544,14.1701,19.6008,NA,16.9807,13.9811,19.896,18.2646,NA,16.0037,26.1637,24.3045,14.1399,9.08164,18.5238,14.818,17.2839,12.9065,27.2568,14.9271,46.2394,13.0351,20.7552,19.0312,9.80038,26.9442,13.2348,13.9419,22.7342
"APBB1",25.4135,20.0179,22.8004,14.3758,25.0995,21.7019,30.4152,22.7347,36.2483,17.1092,16.5846,22.0718,28.8267,44.2356,17.6828,17.416,23.324,17.1489,NA,NA,10.7313,27.8703,NA,NA,19.9235,33.8153,27.2508,40.7695,NA,23.7375,NA,13.95,NA,NA,21.0913,28.5241,23.7712,24.0248,35.6258
"NDUFS8",582.621,487.804,452.979,481.372,479.451,405.027,459.458,501.714,414.138,567.219,412.265,390.054,523.463,453.317,464.739,605.195,355.848,528.302,390.748,428.006,428.133,339.383,518.874,497.96,366.439,399.78,328.334,386.087,341.699,419.474,375.146,346.56,346.652,310.868,389.95,356.005,473.136,240.73,453.587
"PSMD11",129.105,115.308,148.706,125.27,127.281,149.749,131.237,144.266,121.183,123.656,143.005,121.922,126.279,142.942,145.248,144.689,154.526,138,112.701,107.489,146.17,146.48,137.223,137.21,152.103,153.59,142.579,140.695,142.464,152.381,187.847,150.839,147.655,139.154,119.331,125.755,151.436,140.907,140.676
"PSMD12",55.4566,49.7954,67.2259,45.4213,52.3858,49.2141,52.7944,47.0244,63.2487,47.4801,66.5199,51.0624,70.8704,72.3821,63.3793,52.0669,70.0198,59.9456,59.1276,50.2519,55.78,64.989,72.1872,45.6988,62.3817,69.7332,60.5115,70.275,60.8147,65.9786,84.1291,67.0047,80.0346,61.3805,54.9292,66.2794,64.7461,65.7706,72.376
"PSMD9",14.7547,23.2225,25.2269,16.4306,22.1497,32.3305,27.3244,27.0038,19.9373,25.5273,17.6199,18.9856,27.6967,10.9434,26.7061,22.0476,38.5756,23.8913,NA,12.132,10.9571,39.5601,16.0593,12.5394,27.1691,20.6969,26.6358,46.3938,NA,16.2263,37.9536,21.4806,32.9712,39.3036,25.8436,17.8,28.2517,28.0615,15.2072
"SIRPB1",NA,NA,NA,18.2473,67.7115,68.3869,103.75,71.8411,105.576,72.8734,NA,40.0107,46.2437,63.9407,NA,29.7726,NA,38.3288,NA,20.9023,NA,NA,NA,23.8222,52.0764,NA,60.3485,47.6682,18.279,42.0506,24.5627,NA,28.6582,NA,NA,25.139,51.6764,79.6759,24.626
"ATOX1",15.0108,21.0976,17.4734,20.6868,16.9371,22.1059,13.2928,21.1272,23.7991,13.8526,NA,23.6163,27.3657,13.9259,13.8735,NA,14.4551,NA,16.5436,9.34426,5.4661,14.3159,14.288,7.90228,14.4225,21.5755,10.2552,11.2476,11.5148,NA,12.6449,20.5637,16.9726,18.6245,23.9507,32.0718,19.0112,16.2278,NA
"PGRMC1",131.371,138.831,154.878,124.29,165.224,162.264,214.794,180.966,174.841,158.403,91.7816,139.137,129.971,188.608,138.284,151.951,149.636,160.855,186.933,55.9272,142.304,127.671,127.656,154.722,208.798,163.569,147.564,241.236,145.558,174.283,182.934,172.131,139.973,171.472,213.358,142.648,173.743,255.066,177.247
"DFFA",NA,13.5081,31.8997,9.80377,15.9835,32.3151,16.27,11.6587,NA,21.5446,6.63575,12.5974,11.1956,NA,NA,12.3838,22.481,5.778,13.0674,21.4184,8.48158,8.89,10.7014,NA,17.2874,NA,15.1438,NA,17.8456,10.5026,12.7242,15.6686,19.5147,10.1222,16.3098,23.7953,16.2511,20.6825,17.8657
"CLIC1",59.7259,92.2421,102.185,104.593,71.7026,84.0903,106.103,125.896,81.8763,64.5651,103.512,116.457,116.064,91.9173,164.152,73.6801,306.356,143.507,131.744,98.2316,141.075,216.083,78.2335,99.7052,162.347,135.847,106.265,138.563,125.531,132.507,401.985,82.1513,187.172,108.39,79.0134,192.766,93.4307,163.126,143.519
"EIF3F",53.1278,45.5844,63.2883,49.669,53.0695,45.3296,50.4634,51.1273,47.0425,52.2944,51.0332,37.8023,48.5453,42.1939,57.6792,58.4506,63.4031,55.5433,38.6923,46.6596,44.5496,49.9941,49.9657,54.925,44.3665,50.8554,39.0359,44.3356,45.2244,51.3711,63.5944,46.1622,57.8432,56.1269,47.2529,47.5724,55.2113,49.1647,53.2499
"CACNB4",87.6099,72.7506,78.2697,71.4676,71.4225,83.0224,76.9216,79.0218,72.0739,89.0145,97.8513,80.7156,71.8038,80.8301,77.7887,90.4912,74.1349,72.5779,59.8745,76.2235,51.6146,65.5792,78.7831,85.2449,81.432,86.3035,79.9736,71.0014,49.4878,83.7028,54.3396,80.5928,73.4362,66.657,81.6094,61.4119,91.1507,48.8523,86.6976
"PDHX",220.207,189.132,180.392,190.329,218.27,219.165,194.032,199.668,203.48,146.535,211.049,129.616,193.368,212.684,180.362,224.485,154.459,167.659,116.457,207.882,137.262,148.194,229.112,185.516,147.092,184.4,213.82,192.237,90.8783,170.856,127.93,147.027,148.812,149.787,181.305,130.023,220.319,129.04,169.816
"WASL",59.1329,74.8278,67.8519,83.9172,80.4897,88.1379,67.3078,70.4095,69.058,75.7967,89.0375,72.7537,66.9773,89.9941,61.9269,63.533,39.2636,68.4891,37.0998,76.3315,72.5976,82.3963,70.7017,83.6646,56.3277,67.9272,67.3804,69.1764,33.5653,46.9241,65.9225,74.8334,65.3383,59.9592,77.3701,71.3927,71.8032,50.5916,48.2502
"PDE2A",44.1772,32.8655,61.8277,23.3729,57.6591,53.7075,59.9578,54.447,69.3298,33.2312,35.1545,32.7597,56.6651,65.0104,39.8844,37.6616,38.0447,36.1886,63.4434,27.5794,39.9688,56.0636,46.6056,41.3918,57.0762,55.4444,83.408,79.4101,48.0669,52.1631,40.866,52.8828,44.7676,61.8025,68.089,38.5546,43.935,59.9414,62.1138
"IPO5",86.011,65.1208,73.9336,52.9839,114.127,107.949,94.2086,90.0373,95.5709,85.19,102.43,62.5728,85.7705,90.523,90.9993,93.3553,96.8032,76.5673,137.369,75.3969,65.5693,88.3414,91.5382,96.4907,101.497,90.8582,76.2534,87.1626,54.4291,90.2018,88.3435,95.2588,86.5628,93.1948,88.3981,69.6405,94.3404,98.3419,96.8382
"DNM1L",349.038,240.486,348.135,271.121,352.316,368.739,307.055,309.145,310.283,269.342,343.066,274.67,348.517,357.091,275.182,363.874,249.956,288.276,283.253,284.712,297.419,287.962,349.829,283.663,267.91,310.64,344.002,285.802,199.824,305.655,205.819,287.735,236.166,275.139,334.868,237.576,341.479,227.927,316.499
"RTCA",67.9769,53.0621,64.344,32.1794,64.4207,75.0811,52.0162,82.993,54.4904,65.8289,60.1761,57.1119,66.1446,79.8309,71.3738,74.3883,66.0508,73.0181,74.597,54.7615,53.9249,74.5507,60.8228,65.8956,71.1367,53.2696,65.2689,64.7053,43.7903,84.068,56.513,71.4764,58.4384,68.7435,78.3777,62.0203,65.8235,60.8585,75.4516
"SYT5",168.841,92.307,243.862,153.726,399.283,165.034,386.656,300.388,413.618,232.068,254.453,69.6929,245.82,304.744,256.953,172.219,159.555,166.526,336.927,102.954,149.774,153.75,226.459,230.934,233.964,204.304,474.602,551.02,NA,281.398,172.053,NA,158.405,392.918,469.665,96.4993,314.271,397.337,331.418
"AGRN",55.1734,75.5172,59.3355,62.6536,66.7385,63.5548,73.4992,79.8244,53.4456,60.5527,59.047,73.6474,70.8111,51.5819,81.8165,56.6924,80.4657,97.0911,72.9826,70.6213,63.3885,88.5726,65.8765,70.9854,83.7872,92.7968,83.5984,89.5477,82.4726,53.6442,104.849,71.1743,94.8044,83.224,48.602,84.5337,64.1248,82.7387,69.1025
"EXOC5",36.3696,22.335,31.9859,NA,36.5892,25.9389,31.9136,34.9097,31.3576,18.3465,30.9051,15.8978,32.4379,34.9428,29.1297,26.1695,25.9423,21.6944,41.0785,NA,NA,28.2916,27.0094,13.4554,30.2352,19.4055,NA,36.0235,NA,49.8877,41.3403,27.4518,26.8651,21.032,NA,22.1086,28.4866,34.8459,39.2505
"NDUFA4",565.598,399.339,630.528,414.62,500.283,543.311,506.601,510.368,490.627,650.431,655.19,422.216,639.965,669.777,602.492,624.201,311.882,546.72,392.804,571.752,429.658,401.136,684.496,448.563,383.689,551.468,656.996,501.821,94.1574,331.169,298.144,449.862,491.102,365.446,703.967,391.965,502.566,411.07,461.476
"PSMD14",83.0643,93.7415,91.049,92.7675,78.3684,93.5076,95.4362,92.6133,88.057,82.7181,112.938,91.4837,84.7835,91.7554,89.0857,81.0437,108.513,98.3947,92.1607,93.5286,83.1695,83.9283,97.0877,86.7317,97.6684,115.792,92.2356,102.971,107.117,99.0481,134.664,102.47,112.122,94.4145,97.8223,101.586,98.519,89.3186,100.176
"BIN1",301.615,555.999,454.343,452.724,512.183,449.992,340.535,408.462,320.76,654.043,393.514,519.874,391.637,379.589,369.916,379.254,320.309,382.071,212.435,639.768,641.117,501.711,520.768,480.723,337.783,305.124,412.197,289.065,271.856,358.688,202.868,594.967,314.622,381.315,373.436,548.669,528.111,222.34,356.172
"KPNA3",110.37,82.1483,138.814,85.161,145.355,152.55,157.702,108.073,140.978,111.323,128.019,66.6577,124.223,140.602,134.301,126.812,170.947,139.443,107.873,107.608,145.097,86.9016,150.618,124.086,139.125,139.306,160.46,125.341,146.579,178.844,91.9461,135.916,129.74,124.679,161.155,117.673,123.662,152.142,105.771
"CHL1",39.108,50.8897,42.6863,56.873,44.3474,21.47,35.2958,47.4037,63.2305,39.6069,33.856,34.0767,49.8228,39.7479,36.9307,39.3532,35.6435,30.6927,39.2924,42.4494,57.6878,37.4707,16.9642,42.8187,46.6773,37.9666,43.3552,39.8523,23.7279,39.542,45.476,46.2217,40.3622,57.8828,68.7576,28.8056,54.3802,41.5595,45.671
"VWA5A",NA,NA,NA,NA,27.0232,22.8072,25.2477,44.0148,NA,22.4957,NA,NA,23.4454,NA,NA,NA,29.5937,23.1349,20.0476,NA,NA,33.7338,NA,NA,NA,23.9886,NA,22.2416,NA,17.2811,30.8808,NA,NA,15.2467,NA,NA,24.7042,35.854,NA
"SDCBP",65.045,74.892,75.7336,60.2742,75.5809,65.3552,66.2134,67.4901,53.04,66.1202,67.975,89.2511,67.6701,61.8776,65.1885,61.4484,61.7196,54.5441,36.4273,66.8939,64.153,71.2137,69.374,70.3094,68.5284,62.968,66.841,68.1377,65.8348,50.3991,101.497,70.3798,53.2429,61.1831,53.167,63.8673,72.9049,41.4064,76.3514
"PITPNM1",12.9292,NA,16.8547,NA,16.8885,18.9622,14.2025,13.5878,12.5166,NA,13.5812,12.5583,10.5566,15.7521,17.5127,21.956,14.3455,NA,NA,NA,NA,21.2445,NA,18.8174,30.5872,13.239,12.4895,10.6523,11.5548,17.1591,17.6609,13.5697,NA,13.2999,19.5619,NA,14.9358,12.2969,11.9585
"NOP56",35.5901,35.6529,40.7469,26.9766,42.0999,48.7627,40.2176,34.9178,40.0361,38.2578,40.8087,22.2626,35.5426,38.9676,48.557,39.0696,49.6556,55.3226,27.672,40.9233,NA,26.8983,45.2593,59.4066,43.6676,44.2572,30.9325,46.9411,47.3515,47.1538,52.9317,54.9831,49.5377,39.9889,36.7715,NA,40.5115,NA,40.5714
"DDX3X",83.3098,69.7196,87.8148,65.8688,79.6293,66.3776,86.5817,83.1759,82.8353,80.2987,62.2872,72.9261,85.0019,79.3032,101.147,101.243,120.587,77.0769,90.8391,58.8838,76.1794,98.9793,87.2084,89.0365,97.6565,79.4201,83.0465,84.9129,85.3183,88.3953,109.956,78.6572,88.5734,78.4054,73.0214,81.2696,85.3502,90.1536,71.8601
"PIR",NA,NA,NA,NA,NA,NA,NA,NA,41.632,54.8469,NA,73.5957,63.8586,34.7705,NA,NA,54.9376,NA,NA,46.9425,NA,NA,NA,NA,55.0745,NA,NA,35.6886,NA,NA,NA,NA,69.9464,NA,59.1238,77.3966,48.3648,54.3472,NA
